Id,AcceptedAnswerId,Id,Title,Body
"1854","1857","1857","How to identify which OS Python is running on?","<pre><code>&gt;&gt;&gt; import os
&gt;&gt;&gt; os.name
'posix'
&gt;&gt;&gt; import platform
&gt;&gt;&gt; platform.system()
'Linux'
&gt;&gt;&gt; platform.release()
'2.6.22-15-generic'
</code></pre>

<p>The output of <a href=""https://docs.python.org/library/platform.html#platform.system"" rel=""noreferrer""><code>platform.system()</code></a> is as follows:</p>

<ul>
<li>Linux: <code>Linux</code></li>
<li>Mac: <code>Darwin</code></li>
<li>Windows: <code>Windows</code></li>
</ul>

<p>See: <a href=""https://docs.python.org/library/platform.html"" rel=""noreferrer""><code>platform</code> — Access to underlying platform’s identifying data</a></p>
"
"2311","2316","2316","File size differences after copying a file to a server vía FTP","<p>Do you need to open the locfile in binary using <code>rb</code>?</p>

<pre><code>f = open (locfile, ""rb"")
</code></pre>
"
"2933","2937","2937","Create a directly-executable cross-platform GUI app using Python","<p>First you will need some GUI library with Python bindings and then (if you want) some program that will convert your python scripts into standalone executables.</p>

<p><strong>Cross-platform GUI libraries with Python bindings (Windows, Linux, Mac)</strong></p>

<p>Of course, there are many, but the most popular that I've seen in wild are:</p>

<ul>
<li><a href=""http://wiki.python.org/moin/TkInter"" rel=""noreferrer"">Tkinter</a>  - based on <a href=""http://www.tcl.tk/"" rel=""noreferrer"">Tk GUI toolkit</a> (de-facto standard GUI library for python, free for commercial projects)</li>
<li><a href=""http://www.wxpython.org/"" rel=""noreferrer"">WxPython</a> - based on <a href=""http://www.wxwidgets.org/"" rel=""noreferrer"">WxWidgets</a> (popular, free for commercial projects)</li>
<li><a href=""https://www.qt.io"" rel=""noreferrer"">Qt</a> using the <a href=""https://riverbankcomputing.com/software/pyqt/intro"" rel=""noreferrer"">PyQt bindings</a> or <a href=""https://www.qt.io/qt-for-python"" rel=""noreferrer"">Qt for Python</a>. The former is not free for commercial projects. The latter is less mature, but can be used for free.</li>
</ul>

<p>Complete list is at <a href=""http://wiki.python.org/moin/GuiProgramming"" rel=""noreferrer"">http://wiki.python.org/moin/GuiProgramming</a></p>

<p><strong>Single executable (all platforms)</strong></p>

<ul>
<li><a href=""https://www.pyinstaller.org/"" rel=""noreferrer"">PyInstaller</a> - the most active(Could also be used with <code>PyQt</code>)</li>
<li><a href=""https://build-system.fman.io"" rel=""noreferrer"">fbs</a> - if you chose Qt above</li>
</ul>

<p><strong>Single executable (Windows)</strong></p>

<ul>
<li><a href=""http://www.py2exe.org/"" rel=""noreferrer"">py2exe</a> - used to be the most popular</li>
</ul>

<p><strong>Single executable (Linux)</strong></p>

<ul>
<li><a href=""http://wiki.python.org/moin/Freeze"" rel=""noreferrer"">Freeze</a> - works the same way like py2exe but targets Linux platform</li>
</ul>

<p><strong>Single executable (Mac)</strong></p>

<ul>
<li><a href=""https://pythonhosted.org/py2app/"" rel=""noreferrer"">py2app</a> - again, works like py2exe but targets Mac OS</li>
</ul>
"
"3061","3071","3071","Calling a function of a module by using its name (a string)","<p>Given a module <code>foo</code> with method <code>bar</code>:</p>
<pre><code>import foo
bar = getattr(foo, 'bar')
result = bar()
</code></pre>
<p><a href=""https://docs.python.org/library/functions.html#getattr"" rel=""noreferrer""><code>getattr</code></a> can similarly be used on class instance bound methods, module-level methods, class methods... the list goes on.</p>
"
"5415","73281","73281","Convert Bytes to Floating Point Numbers?","<pre><code>&gt;&gt;&gt; import struct
&gt;&gt;&gt; struct.pack('f', 3.141592654)
b'\xdb\x0fI@'
&gt;&gt;&gt; struct.unpack('f', b'\xdb\x0fI@')
(3.1415927410125732,)
&gt;&gt;&gt; struct.pack('4f', 1.0, 2.0, 3.0, 4.0)
'\x00\x00\x80?\x00\x00\x00@\x00\x00@@\x00\x00\x80@'
</code></pre>
"
"5419","5430","5430","Python, Unicode, and the Windows console","<p><strong>Note:</strong> This answer is sort of outdated (from 2008). Please use the solution below with care!!</p>

<hr>

<p>Here is a page that details the problem and a solution (search the page for the text <em>Wrapping sys.stdout into an instance</em>):</p>

<p><a href=""http://wiki.python.org/moin/PrintFails"" rel=""noreferrer"">PrintFails - Python Wiki</a></p>

<p>Here's a code excerpt from that page:</p>

<pre><code>$ python -c 'import sys, codecs, locale; print sys.stdout.encoding; \
    sys.stdout = codecs.getwriter(locale.getpreferredencoding())(sys.stdout); \
    line = u""\u0411\n""; print type(line), len(line); \
    sys.stdout.write(line); print line'
  UTF-8
  &lt;type 'unicode'&gt; 2
  Б
  Б

  $ python -c 'import sys, codecs, locale; print sys.stdout.encoding; \
    sys.stdout = codecs.getwriter(locale.getpreferredencoding())(sys.stdout); \
    line = u""\u0411\n""; print type(line), len(line); \
    sys.stdout.write(line); print line' | cat
  None
  &lt;type 'unicode'&gt; 2
  Б
  Б
</code></pre>

<p>There's some more information on that page, well worth a read.</p>
"
"5909","5985","5985","Get size of a file before downloading in Python","<p>I have reproduced what you are seeing:</p>

<pre><code>import urllib, os
link = ""http://python.org""
print ""opening url:"", link
site = urllib.urlopen(link)
meta = site.info()
print ""Content-Length:"", meta.getheaders(""Content-Length"")[0]

f = open(""out.txt"", ""r"")
print ""File on disk:"",len(f.read())
f.close()


f = open(""out.txt"", ""w"")
f.write(site.read())
site.close()
f.close()

f = open(""out.txt"", ""r"")
print ""File on disk after download:"",len(f.read())
f.close()

print ""os.stat().st_size returns:"", os.stat(""out.txt"").st_size
</code></pre>

<p>Outputs this:</p>

<pre><code>opening url: http://python.org
Content-Length: 16535
File on disk: 16535
File on disk after download: 16535
os.stat().st_size returns: 16861
</code></pre>

<p>What am I doing wrong here? Is os.stat().st_size not returning the correct size?</p>

<hr>

<p>Edit:
OK, I figured out what the problem was:</p>

<pre><code>import urllib, os
link = ""http://python.org""
print ""opening url:"", link
site = urllib.urlopen(link)
meta = site.info()
print ""Content-Length:"", meta.getheaders(""Content-Length"")[0]

f = open(""out.txt"", ""rb"")
print ""File on disk:"",len(f.read())
f.close()


f = open(""out.txt"", ""wb"")
f.write(site.read())
site.close()
f.close()

f = open(""out.txt"", ""rb"")
print ""File on disk after download:"",len(f.read())
f.close()

print ""os.stat().st_size returns:"", os.stat(""out.txt"").st_size
</code></pre>

<p>this outputs:</p>

<pre><code>$ python test.py
opening url: http://python.org
Content-Length: 16535
File on disk: 16535
File on disk after download: 16535
os.stat().st_size returns: 16535
</code></pre>

<p>Make sure you are opening both files for binary read/write.</p>

<pre><code>// open for binary write
open(filename, ""wb"")
// open for binary read
open(filename, ""rb"")
</code></pre>
"
"5966","10778","10778","Best way to abstract season/show/episode data","<p>OK, what you need is <code>classobj</code> from new module. That would allow you to construct exception classes dynamically (<code>classobj</code> takes a string as an argument for the class name). </p>

<pre><code>import new
myexc=new.classobj(""ExcName"",(Exception,),{})
i=myexc(""This is the exc msg!"")
raise i
</code></pre>

<p>this gives you:</p>

<pre><code>Traceback (most recent call last):
File ""&lt;stdin&gt;"", line 1, in &lt;module&gt;
__main__.ExcName: This is the exc msg!
</code></pre>

<p>remember that you can always get the class name through:</p>

<pre><code>self.__class__.__name__
</code></pre>

<p>So, after some string mangling and concatenation, you should be able to obtain appropriate exception class name and construct a class object using that name and then raise that exception.</p>

<p>P.S. - you can also raise strings, but this is deprecated.</p>

<pre><code>raise(self.__class__.__name__+""Exception"")
</code></pre>
"
"8154","46442","46442","Pylons error - 'MySQL server has gone away'","<p>I think I fixed it. It's turns out I had a simple config error. My ini file read:</p>

<pre><code>sqlalchemy.default.url = [connection string here]
sqlalchemy.pool_recycle = 1800
</code></pre>

<p>The problem is that my <code>environment.py</code> file declared that the engine would only map keys with the prefix: <code>sqlalchemy.default</code> so <code>pool_recycle</code> was ignored.</p>

<p>The solution is to simply change the second line in the ini to:</p>

<pre><code>sqlalchemy.default.pool_recycle = 1800
</code></pre>
"
"10123","10129","10129","How do I treat an integer as an array of bytes in Python?","<p>This will do what you want:</p>

<pre><code>signum = status &amp; 0xff
exitstatus = (status &amp; 0xff00) &gt;&gt; 8
</code></pre>
"
"12592","12609","12609","Can you check that an exception is thrown with doctest in Python?","<p>Yes. You can do it. The <a href=""https://docs.python.org/3/library/doctest.html"" rel=""noreferrer"">doctest module documentation</a> and Wikipedia has an <a href=""http://en.wikipedia.org/wiki/Doctest#Example_2:_doctests_embedded_in_a_README.txt_file"" rel=""noreferrer"">example</a> of it.</p>

<pre><code>   &gt;&gt;&gt; x
   Traceback (most recent call last):
     ...
   NameError: name 'x' is not defined
</code></pre>
"
"13396","13435","13435","Replacement for for... if array iteration","<p>The increment in the original <code>foreach</code> loop will not affect the contents of the array, the only way to do this remains a <code>for</code> loop:</p>

<pre><code>for(int i = 0; i &lt; intArray.Length; ++i)
{
    if(intArray[i] &gt; 3) ++intArray[i];
}
</code></pre>

<p>Linq is not intended to modify existing collections or sequences. It creates new sequences based on existing ones. It is possible to achieve the above code using Linq, though it is slightly against its purposes:</p>

<pre><code>var newArray1 = from i in intArray select ((i &gt; 3) ? (i + 1) : (i));
var newArray2 = intArray.Select(i =&gt; (i &gt; 3) ? (i + 1) : (i));
</code></pre>

<p>Using <code>where</code> (or equivalent), as shown in some of the other answers, will exclude any values less than or equal to 3 from the resulting sequence.</p>

<pre><code>var intArray = new int[] { 10, 1, 20, 2 };
var newArray = from i in intArray where i &gt; 3 select i + 1;
// newArray == { 11, 21 }
</code></pre>

<p>There is a <code>ForEach</code> method on arrays that will allow you to use a lambda function instead of a <code>foreach</code> block, though for anything more than a method call I would stick with <code>foreach</code>.</p>

<pre><code>intArray.ForEach(i =&gt; DoSomething(i));
</code></pre>
"
"13791","13943","13943","Python Regular Expressions to implement string unescaping","<p>Isn't that what Anders' second example does?</p>

<p>In 2.5 there's also a <code>string-escape</code> encoding you can apply:</p>

<pre><code>&gt;&gt;&gt; mystring = r""This is \n a test \r""
&gt;&gt;&gt; mystring.decode('string-escape')
'This is \n a test \r'
&gt;&gt;&gt; print mystring.decode('string-escape')
This is 
 a test 
&gt;&gt;&gt; 
</code></pre>
"
"13857","141426","141426","Can you explain closures (as they relate to Python)?","<p><a href=""http://mrevelle.blogspot.com/2006/10/closure-on-closures.html"" rel=""noreferrer"">Closure on closures</a></p>

<blockquote>
  <p>Objects are data with methods
  attached, closures are functions with
  data attached.</p>
</blockquote>

<pre><code>def make_counter():
    i = 0
    def counter(): # counter() is a closure
        nonlocal i
        i += 1
        return i
    return counter

c1 = make_counter()
c2 = make_counter()

print (c1(), c1(), c2(), c2())
# -&gt; 1 2 1 2
</code></pre>
"
"13941","13949","13949","Python Sound (""Bell"")","<p>Have you tried :</p>

<pre><code>import sys
sys.stdout.write('\a')
sys.stdout.flush()
</code></pre>

<p>That works for me here on Mac OS 10.5</p>

<p>Actually, I think your original attempt works also with a little modification:</p>

<pre><code>print('\a')
</code></pre>

<p>(You just need the single quotes around the character sequence).</p>
"
"14281","14320","14320","Is there a python module for regex matching in zip files","<p>There's nothing that will automatically do what you want.</p>

<p>However, there is a python zipfile module that will make this easy to do.  Here's how to iterate over the lines in the file.</p>

<pre><code>#!/usr/bin/python

import zipfile
f = zipfile.ZipFile('myfile.zip')

for subfile in f.namelist():
    print subfile
    data = f.read(subfile)
    for line in data.split('\n'):
        print line
</code></pre>
"
"14389","14391","14391","Regex and unicode","<p>Use a subrange of <code>[\u0000-\uFFFF]</code> for what you want.</p>

<p>You can also use the <code>re.UNICODE</code> compile flag. <a href=""http://docs.python.org/lib/re-syntax.html"" rel=""nofollow noreferrer"">The docs</a> say that if <code>UNICODE</code> is set, <code>\w</code> will match the characters <code>[0-9_]</code> plus whatever is classified as alphanumeric in the Unicode character properties database. </p>

<p>See also <a href=""http://coding.derkeiler.com/Archive/Python/comp.lang.python/2004-05/2560.html"" rel=""nofollow noreferrer"">http://coding.derkeiler.com/Archive/Python/comp.lang.python/2004-05/2560.html</a>.</p>
"
"15798","15931","15931","How do I validate xml against a DTD file in Python","<p>Another good option is <a href=""http://lxml.de/validation.html"" rel=""noreferrer"">lxml's validation</a> which I find quite pleasant to use.</p>

<p>A simple example taken from the lxml site:</p>

<pre><code>from StringIO import StringIO

from lxml import etree

dtd = etree.DTD(StringIO(""""""&lt;!ELEMENT foo EMPTY&gt;""""""))
root = etree.XML(""&lt;foo/&gt;"")
print(dtd.validate(root))
# True

root = etree.XML(""&lt;foo&gt;bar&lt;/foo&gt;"")
print(dtd.validate(root))
# False
print(dtd.error_log.filter_from_errors())
# &lt;string&gt;:1:0:ERROR:VALID:DTD_NOT_EMPTY: Element foo was declared EMPTY this one has content
</code></pre>
"
"17893","17933","17933","What's the best way to distribute python command-line tools?","<p>Try the <code>entry_points.console_scripts</code> parameter in the setup() call. As described in the <a href=""http://peak.telecommunity.com/DevCenter/setuptools#automatic-script-creation"" rel=""noreferrer"">setuptools docs</a>, this should do what I think you want.</p>

<p>To reproduce here:</p>

<pre><code>from setuptools import setup

setup(
    # other arguments here...
    entry_points = {
        'console_scripts': [
            'foo = package.module:func',
            'bar = othermodule:somefunc',
        ],
    }
)
</code></pre>
"
"18418","18435","18435","Elegant way to remove items from sequence in Python?","<p>Two easy ways to accomplish just the filtering are:</p>

<ol>
<li><p>Using <code>filter</code>:</p>

<p><code>names = filter(lambda name: name[-5:] != ""Smith"", names)</code></p></li>
<li><p>Using list comprehensions:</p>

<p><code>names = [name for name in names if name[-5:] != ""Smith""]</code></p></li>
</ol>

<p>Note that both cases keep the values for which the predicate function evaluates to <code>True</code>, so you have to reverse the logic (i.e. you say ""keep the people who do not have the last name Smith"" instead of ""remove the people who have the last name Smith"").</p>

<p><strong>Edit</strong> Funny... two people individually posted both of the answers I suggested as I was posting mine.</p>
"
